"","EIN","Year","Staff"
"11452","94-2196086","2018","1060"
"11453","94-2196086","2019","1180"
"11454","94-2196086","2021","1250"
"11455","23-7304921","2009","41"
"11456","23-7304921","2010","35"
"11457","23-7304921","2011","48"
"11458","23-7304921","2012","48"
"11459","23-7304921","2013","57"
"11460","23-7304921","2014","41"
"11461","23-7304921","2015","44"
"11462","23-7304921","2016","44"
"11463","23-7304921","2017","65"
"11464","23-7304921","2018","60"
"11465","23-7304921","2019","60"
"11466","23-7304921","2021","53"
"11467","94-1667294","2009","142"
"11468","94-1667294","2010","149"
"11469","94-1667294","2011","149"
"11470","94-1667294","2012","144"
"11471","94-1667294","2013","153"
"11472","94-1667294","2014","153"
"11473","94-1667294","2015","139"
"11474","94-1667294","2016","152"
"11475","94-1667294","2017","192"
"11476","94-1667294","2018","190"
"11477","94-1667294","2019","185"
"11478","94-1667294","2020","202"
"11479","94-1667294","2021","200"
"11480","94-1732538","2008","447"
"11481","94-1732538","2009","464"
"11482","94-1732538","2010","478"
"11483","94-1732538","2011","510"
"11484","94-1732538","2012","572"
"11485","94-1732538","2013","541"
"11486","94-1732538","2014","505"
"11487","94-1732538","2015","557"
"11488","94-1732538","2016","621"
"11489","94-1732538","2017","687"
"11490","94-1732538","2018","689"
"11491","94-1732538","2019","834"
"11492","94-1732538","2020","975"
"11493","94-1732538","2021","1159"
"11494","94-2284365","2008","224"
"11495","94-2284365","2009","207"
"11496","94-2284365","2010","227"
"11497","94-2284365","2011","227"
"11498","94-2284365","2012","227"
"11499","94-2284365","2013","235"
"11500","94-2284365","2014","241"
"11501","94-2284365","2015","243"
"11502","94-2284365","2016","237"
"11503","94-2284365","2017","240"
"11504","94-2284365","2018","286"
"11505","94-2284365","2019","243"
"11506","94-2284365","2020","235"
"11507","94-1722562","2008","298"
"11508","94-1722562","2009","368"
"11509","94-1722562","2010","394"
"11510","94-1722562","2011","440"
"11511","94-1722562","2012","532"
"11512","94-1722562","2013","639"
"11513","94-1722562","2014","583"
"11514","94-1722562","2015","643"
"11515","94-1722562","2016","750"
"11516","94-1722562","2017","812"
"11517","94-1722562","2018","794"
"11518","94-1722562","2019","840"
"11519","94-1722562","2020","826"
"11520","95-3253302","2009","504"
"11521","95-3253302","2010","573"
"11522","95-3253302","2011","573"
"11523","95-3253302","2012","577"
"11524","95-3253302","2013","589"
"11525","95-3253302","2014","654"
"11526","95-3253302","2015","748"
"11527","95-3253302","2016","851"
"11528","95-3253302","2017","897"
"11529","95-3253302","2018","980"
"11530","95-3253302","2019","1000"
"11531","95-3253302","2020","981"
"11532","95-3253302","2021","941"
"11533","95-2847102","2008","620"
"11534","95-2847102","2009","610"
"11535","95-2847102","2010","607"
"11536","95-2847102","2011","646"
"11537","95-2847102","2012","636"
"11538","95-2847102","2013","651"
"11539","95-2847102","2014","689"
"11540","95-2847102","2015","124"
"11541","95-2847102","2016","877"
"11542","95-2847102","2017","911"
"11543","95-2847102","2018","955"
"11544","95-2847102","2019","933"
"11545","95-2847102","2020","855"
"11546","94-2437106","2009","404"
"11547","94-2437106","2010","412"
"11548","94-2437106","2011","445"
"11549","94-2437106","2012","441"
"11550","94-2437106","2013","496"
"11551","94-2437106","2014","496"
"11552","94-2437106","2015","499"
"11553","94-2437106","2016","588"
"11554","94-2437106","2017","644"
"11555","94-2437106","2018","680"
"11556","94-2437106","2019","983"
"11557","94-2437106","2020","1074"
"11558","94-2437106","2021","1205"
"11559","94-2210447","2009","439"
"11560","94-2210447","2010","438"
"11561","94-2210447","2011","452"
"11562","94-2210447","2012","457"
"11563","94-2210447","2013","438"
"11564","94-2210447","2014","501"
"11565","94-2210447","2015","489"
"11566","94-2210447","2016","459"
"11567","94-2210447","2017","483"
"11568","94-2210447","2018","475"
"11569","94-2210447","2019","512"
"11570","94-2210447","2020","603"
"11571","94-2210447","2021","539"
"11572","99-0148164","2009","571"
"11573","99-0148164","2010","585"
"11574","99-0148164","2011","585"
"11575","99-0148164","2012","610"
"11576","99-0148164","2013","725"
"11577","99-0148164","2014","725"
"11578","99-0148164","2015","722"
"11579","99-0148164","2016","731"
"11580","99-0148164","2017","1013"
"11581","99-0148164","2018","785"
"11582","99-0148164","2020","848"
"11583","99-0148164","2021","748"
"11584","23-7120632","2008","761"
"11585","23-7120632","2009","802"
"11586","23-7120632","2010","892"
"11587","23-7120632","2011","855"
"11588","23-7120632","2012","827"
"11589","23-7120632","2013","846"
"11590","23-7120632","2014","869"
"11591","23-7120632","2015","944"
"11592","23-7120632","2016","1035"
"11593","23-7120632","2017","1071"
"11594","23-7120632","2018","1126"
"11595","23-7120632","2019","1123"
"11596","23-7120632","2021","1187"
"11597","95-4536824","2009","34"
"11598","95-4536824","2010","34"
"11599","95-4536824","2011","110"
"11600","95-4536824","2012","103"
"11601","95-4536824","2013","159"
"11602","95-4536824","2014","142"
"11603","95-4536824","2015","175"
"11604","95-4536824","2016","187"
"11605","95-4536824","2017","272"
"11606","95-4536824","2018","468"
"11607","95-4536824","2020","551"
"11608","95-4536824","2021","237"
"11609","95-3702136","2009","284"
"11610","95-3702136","2010","235"
"11611","95-3702136","2011","217"
"11612","95-3702136","2012","246"
"11613","95-3702136","2013","267"
"11614","95-3702136","2014","267"
"11615","95-3702136","2015","251"
"11616","95-3702136","2016","248"
"11617","95-3702136","2017","277"
"11618","95-3702136","2018","286"
"11619","95-3702136","2019","309"
"11620","95-3702136","2020","325"
"11621","95-3702136","2021","321"
"11622","68-0262003","2009","108"
"11623","68-0262003","2010","116"
"11624","68-0262003","2011","107"
"11625","68-0262003","2012","129"
"11626","68-0262003","2013","129"
"11627","68-0262003","2014","146"
"11628","68-0262003","2015","160"
"11629","68-0262003","2016","147"
"11630","68-0262003","2017","150"
"11631","68-0262003","2018","147"
"11632","68-0262003","2019","153"
"11633","68-0262003","2020","143"
"11634","68-0262003","2021","139"
"11635","23-7049937","2009","149"
"11636","23-7049937","2010","148"
"11637","23-7049937","2011","152"
"11638","23-7049937","2012","154"
"11639","23-7049937","2013","160"
"11640","23-7049937","2014","140"
"11641","23-7049937","2015","33"
"11642","23-7049937","2016","146"
"11643","23-7049937","2017","146"
"11644","23-7049937","2018","150"
"11645","23-7049937","2019","167"
"11646","23-7049937","2020","167"
"11647","23-7049937","2021","160"
"11648","94-2235908","2009","279"
"11649","94-2235908","2010","334"
"11650","94-2235908","2011","299"
"11651","94-2235908","2012","361"
"11652","94-2235908","2013","452"
"11653","94-2235908","2014","447"
"11654","94-2235908","2015","447"
"11655","94-2235908","2016","494"
"11656","94-2235908","2017","493"
"11657","94-2235908","2018","549"
"11658","94-2235908","2019","579"
"11659","94-2235908","2020","579"
"11660","94-2235908","2021","547"
"11661","95-4067758","2008","199"
"11662","95-4067758","2009","230"
"11663","95-4067758","2010","255"
"11664","95-4067758","2011","289"
"11665","95-4067758","2012","353"
"11666","95-4067758","2013","363"
"11667","95-4067758","2014","423"
"11668","95-4067758","2015","523"
"11669","95-4067758","2016","612"
"11670","95-4067758","2017","679"
"11671","95-4067758","2018","733"
"11672","95-4067758","2019","751"
"11673","95-4177752","2009","142"
"11674","95-4177752","2010","168"
"11675","95-4177752","2011","168"
"11676","95-4177752","2012","163"
"11677","95-4177752","2013","181"
"11678","95-4177752","2014","182"
"11679","95-4177752","2015","180"
"11680","95-4177752","2016","200"
"11681","95-4177752","2017","220"
"11682","95-4177752","2018","217"
"11683","95-4177752","2019","233"
"11684","95-4177752","2020","238"
"11685","95-4177752","2021","0"
"11686","94-2652757","2009","213"
"11687","94-2652757","2010","227"
"11688","94-2652757","2011","227"
"11689","94-2652757","2012","254"
"11690","94-2652757","2013","237"
"11691","94-2652757","2014","244"
"11692","94-2652757","2015","255"
"11693","94-2652757","2016","277"
"11694","94-2652757","2017","301"
"11695","94-2652757","2018","330"
"11696","94-2652757","2019","366"
"11697","94-2652757","2020","366"
"11698","94-2652757","2021","379"
"11699","94-2897258","2010","32"
"11700","94-2897258","2011","21"
"11701","94-2897258","2012","22"
"11702","94-2897258","2013","19"
"11703","94-2897258","2015","21"
"11704","94-2897258","2016","65"
"11705","94-2897258","2017","45"
"11706","94-2897258","2018","27"
"11707","94-2897258","2019","22"
"11708","94-2897258","2020","22"
"11709","94-2897258","2021","50"
"11710","94-2217261","2009","58"
"11711","94-2217261","2010","61"
"11712","94-2217261","2011","67"
"11713","94-2217261","2012","73"
"11714","94-2217261","2013","85"
"11715","94-2217261","2014","113"
"11716","94-2217261","2015","113"
"11717","94-2217261","2016","140"
"11718","94-2217261","2017","140"
"11719","94-2217261","2018","207"
"11720","94-2217261","2019","274"
"11721","94-2217261","2020","292"
"11722","94-2217261","2021","312"
"11723","95-2700856","2009","262"
"11724","95-2700856","2010","250"
"11725","95-2700856","2011","252"
"11726","95-2700856","2012","248"
"11727","95-2700856","2013","247"
"11728","95-2700856","2014","251"
"11729","95-2700856","2015","241"
"11730","95-2700856","2016","257"
"11731","95-2700856","2017","278"
"11732","95-2700856","2018","275"
"11733","95-2700856","2019","286"
"11734","95-2700856","2020","286"
"11735","95-2700856","2021","271"
"11736","95-2700856","2022","293"
"11737","77-0031679","2009","49"
"11738","77-0031679","2010","40"
"11739","77-0031679","2011","39"
"11740","77-0031679","2012","47"
"11741","77-0031679","2013","47"
"11742","77-0031679","2014","51"
"11743","77-0031679","2015","51"
"11744","77-0031679","2016","53"
"11745","77-0031679","2017","54"
"11746","77-0031679","2018","55"
"11747","77-0031679","2019","53"
"11748","77-0031679","2020","34"
"11749","77-0031679","2021","58"
"11750","94-2705747","2009","207"
"11751","94-2705747","2010","207"
"11752","94-2705747","2011","222"
"11753","94-2705747","2012","222"
"11754","94-2705747","2013","249"
"11755","94-2705747","2014","249"
"11756","94-2705747","2015","253"
"11757","94-2705747","2016","297"
"11758","94-2705747","2017","349"
"11759","94-2705747","2018","382"
"11760","94-2705747","2019","438"
"11761","94-2705747","2020","468"
"11762","68-0063054","2009","26"
"11763","68-0063054","2010","20"
"11764","68-0063054","2011","20"
"11765","68-0063054","2012","25"
"11766","68-0063054","2013","22"
"11767","68-0063054","2014","23"
"11768","68-0063054","2015","29"
"11769","68-0063054","2016","33"
"11770","68-0063054","2017","30"
"11771","68-0063054","2018","35"
"11772","68-0063054","2019","39"
"11773","68-0063054","2020","47"
"11774","68-0063054","2021","36"
"11775","77-0425496","2008","57"
"11776","77-0425496","2009","42"
"11777","77-0425496","2010","45"
"11778","77-0425496","2011","51"
"11779","77-0425496","2013","51"
"11780","77-0425496","2014","101"
"11781","77-0425496","2015","125"
"11782","77-0425496","2016","171"
"11783","77-0425496","2017","260"
"11784","77-0425496","2018","328"
"11785","77-0425496","2019","433"
"11786","94-2476242","2009","145"
"11787","94-2476242","2010","134"
"11788","94-2476242","2011","143"
"11789","94-2476242","2012","145"
"11790","94-2476242","2013","169"
"11791","94-2476242","2014","192"
"11792","94-2476242","2015","221"
"11793","94-2476242","2016","263"
"11794","94-2476242","2017","290"
"11795","94-2476242","2018","274"
"11796","94-2476242","2019","309"
"11797","94-2476242","2020","312"
"11798","94-2476242","2021","306"
"11799","51-0437659","2009","28"
"11800","51-0437659","2010","31"
"11801","51-0437659","2011","40"
"11802","51-0437659","2012","40"
"11803","51-0437659","2013","48"
"11804","51-0437659","2014","59"
"11805","51-0437659","2015","50"
"11806","51-0437659","2016","49"
"11807","51-0437659","2017","47"
"11808","51-0437659","2018","50"
"11809","51-0437659","2019","58"
"11810","51-0437659","2020","59"
"11811","51-0437659","2021","50"
"11812","23-7255435","2009","210"
"11813","23-7255435","2010","209"
"11814","23-7255435","2011","232"
"11815","23-7255435","2012","261"
"11816","23-7255435","2013","303"
"11817","23-7255435","2014","254"
"11818","23-7255435","2015","239"
"11819","23-7255435","2016","274"
"11820","23-7255435","2017","340"
"11821","23-7255435","2018","366"
"11822","23-7255435","2019","399"
"11823","23-7255435","2020","871"
"11824","23-7255435","2021","894"
"11825","94-1744108","2009","750"
"11826","94-1744108","2010","837"
"11827","94-1744108","2011","975"
"11828","94-1744108","2012","1062"
"11829","94-1744108","2013","1054"
"11830","94-1744108","2014","1027"
"11831","94-1744108","2015","1290"
"11832","94-1744108","2016","1290"
"11833","94-1744108","2017","1302"
"11834","94-1744108","2018","1350"
"11835","94-1744108","2019","1401"
"11836","94-1744108","2020","1316"
"11837","94-1744108","2021","1315"
"11838","99-0250542","2009","119"
"11839","99-0250542","2010","94"
"11840","99-0250542","2011","80"
"11841","99-0250542","2012","90"
"11842","99-0250542","2013","85"
"11843","99-0250542","2014","83"
"11844","99-0250542","2015","85"
"11845","99-0250542","2016","83"
"11846","99-0250542","2017","75"
"11847","99-0250542","2018","75"
"11848","99-0250542","2019","73"
"11849","99-0250542","2020","75"
"11850","99-0250542","2021","82"
"11851","86-0350153","2009","151"
"11852","86-0350153","2010","141"
"11853","86-0350153","2011","137"
"11854","86-0350153","2012","138"
"11855","86-0350153","2013","154"
"11856","86-0350153","2014","161"
"11857","86-0350153","2016","166"
"11858","86-0350153","2017","165"
"11859","86-0350153","2018","179"
"11860","86-0350153","2019","179"
"11861","86-0350153","2020","183"
"11862","86-0350153","2021","194"
"11863","95-2671433","2008","432"
"11864","95-2671433","2009","430"
"11865","95-2671433","2010","443"
"11866","95-2671433","2011","459"
"11867","95-2671433","2012","479"
"11868","95-2671433","2013","503"
"11869","95-2671433","2014","0"
"11870","95-2671433","2015","635"
"11871","95-2671433","2016","697"
"11872","95-2671433","2017","757"
"11873","95-2671433","2018","796"
"11874","95-2671433","2019","829"
"11875","95-2671433","2020","885"
"11876","95-2671433","2021","92"
"11877","94-3199117","2009","475"
"11878","94-3199117","2010","450"
"11879","94-3199117","2011","413"
"11880","94-3199117","2012","373"
"11881","94-3199117","2013","407"
"11882","94-3199117","2014","444"
"11883","94-3199117","2015","481"
"11884","94-3199117","2016","494"
"11885","94-3199117","2017","478"
"11886","94-3199117","2018","466"
"11887","94-3199117","2019","461"
"11888","94-3199117","2020","518"
"11889","94-3199117","2021","536"
"11890","95-3218000","2009","376"
"11891","95-3218000","2010","355"
"11892","95-3218000","2011","356"
"11893","95-3218000","2012","384"
"11894","95-3218000","2013","396"
"11895","95-3218000","2014","399"
"11896","95-3218000","2015","400"
"11897","95-3218000","2016","402"
"11898","95-3218000","2017","540"
"11899","95-3218000","2018","555"
"11900","95-3218000","2019","560"
"11901","95-3218000","2020","950"
"11902","95-3218000","2021","959"
"11903","95-2662606","2009","218"
"11904","95-2662606","2010","218"
"11905","95-2662606","2011","294"
"11906","95-2662606","2012","269"
"11907","95-2662606","2013","323"
"11908","95-2662606","2014","394"
"11909","95-2662606","2015","417"
"11910","95-2662606","2016","463"
"11911","95-2662606","2017","444"
"11912","95-2662606","2018","472"
"11913","95-2662606","2019","987"
"11914","95-2662606","2020","543"
"11915","95-2662606","2021","522"
"11916","94-2536128","2009","57"
"11917","94-2536128","2010","43"
"11918","94-2536128","2011","47"
"11919","94-2536128","2012","53"
"11920","94-2536128","2013","49"
"11921","94-2536128","2014","48"
"11922","94-2536128","2015","46"
"11923","94-2536128","2016","36"
"11924","94-2536128","2017","44"
"11925","94-2536128","2018","47"
"11926","94-2536128","2019","45"
"11927","94-2536128","2020","45"
"11928","94-2536128","2021","55"
"11929","95-2815615","2009","552"
"11930","95-2815615","2010","590"
"11931","95-2815615","2011","633"
"11932","95-2815615","2012","632"
"11933","95-2815615","2013","609"
"11934","95-2815615","2014","622"
"11935","95-2815615","2015","679"
"11936","95-2815615","2016","716"
"11937","95-2815615","2017","794"
"11938","95-2815615","2018","852"
"11939","95-2815615","2019","852"
"11940","95-2815615","2020","883"
"11941","95-2815615","2021","911"
"11942","94-2337367","2009","48"
"11943","94-2337367","2010","42"
"11944","94-2337367","2011","44"
"11945","94-2337367","2012","43"
"11946","94-2337367","2013","45"
"11947","94-2337367","2014","50"
"11948","94-2337367","2015","22"
"11949","94-2337367","2016","51"
"11950","94-2337367","2017","66"
"11951","94-2337367","2018","65"
"11952","94-2337367","2019","65"
"11953","94-2337367","2020","66"
"11954","94-2337367","2021","83"
"11955","94-2533006","2009","121"
"11956","94-2533006","2010","107"
"11957","94-2533006","2011","96"
"11958","94-2533006","2012","100"
"11959","94-2533006","2013","98"
"11960","94-2533006","2014","110"
"11961","94-2533006","2015","110"
"11962","94-2533006","2016","119"
"11963","94-2533006","2017","120"
"11964","94-2533006","2018","123"
"11965","94-2533006","2019","162"
"11966","94-2533006","2020","181"
"11967","94-2533006","2021","175"
"11968","94-2299959","2009","28"
"11969","94-2299959","2010","46"
"11970","94-2299959","2011","58"
"11971","94-2299959","2012","51"
"11972","94-2299959","2013","58"
"11973","94-2299959","2014","72"
"11974","94-2299959","2015","64"
"11975","94-2299959","2016","59"
"11976","94-2299959","2017","61"
"11977","94-2299959","2018","61"
"11978","94-2299959","2019","57"
"11979","94-2299959","2020","52"
"11980","94-2299959","2021","50"
"11981","94-0382330","2008","3050"
"11982","94-0382330","2009","3076"
"11983","94-0382330","2010","3024"
"11984","94-0382330","2011","2970"
"11985","94-0382330","2012","3048"
"11986","94-0382330","2013","3020"
"11987","94-0382330","2014","3100"
"11988","94-0382330","2015","0"
"11989","94-0382330","2017","3127"
"11990","94-0382330","2018","3223"
"11991","94-0382330","2019","3573"
"11992","94-0382330","2020","3912"
"11993","94-0382330","2021","2905"
"11994","99-0222784","2009","171"
"11995","99-0222784","2010","194"
"11996","99-0222784","2011","189"
"11997","99-0222784","2012","201"
"11998","99-0222784","2013","201"
"11999","99-0222784","2014","214"
"12000","99-0222784","2015","221"
"12001","99-0222784","2016","224"
"12002","99-0222784","2017","228"
"12003","99-0222784","2018","232"
"12004","99-0222784","2019","219"
"12005","99-0222784","2020","245"
"12006","99-0222784","2021","247"
"12007","68-0259045","2009","283"
"12008","68-0259045","2010","283"
"12009","68-0259045","2011","286"
"12010","68-0259045","2012","326"
"12011","68-0259045","2013","270"
"12012","68-0259045","2014","344"
"12013","68-0259045","2015","390"
"12014","68-0259045","2016","407"
"12015","68-0259045","2017","429"
"12016","68-0259045","2018","437"
"12017","68-0259045","2019","439"
"12018","68-0259045","2020","439"
"12019","68-0259045","2021","396"
"12020","94-2492609","2009","144"
"12021","94-2492609","2010","134"
"12022","94-2492609","2011","131"
"12023","94-2492609","2012","132"
"12024","94-2492609","2013","120"
"12025","94-2492609","2014","119"
"12026","94-2492609","2015","120"
"12027","94-2492609","2016","137"
"12028","94-2492609","2017","144"
"12029","94-2492609","2018","144"
"12030","94-2492609","2019","140"
"12031","94-2492609","2020","149"
"12032","94-2492609","2021","149"
"12033","94-1719656","2009","112"
"12034","94-1719656","2010","133"
"12035","94-1719656","2011","138"
"12036","94-1719656","2012","139"
"12037","94-1719656","2013","123"
"12038","94-1719656","2014","124"
"12039","94-1719656","2015","124"
"12040","94-1719656","2016","147"
"12041","94-1719656","2017","125"
"12042","94-1719656","2018","233"
"12043","94-1719656","2019","233"
"12044","94-1719656","2020","274"
"12045","94-2831597","2008","80"
"12046","94-2831597","2009","95"
"12047","94-2831597","2010","104"
"12048","94-2831597","2011","113"
"12049","94-2831597","2012","101"
"12050","94-2831597","2013","101"
"12051","94-2831597","2014","112"
"12052","94-2831597","2015","126"
"12053","94-2831597","2016","147"
"12054","94-2831597","2017","173"
"12055","94-2831597","2018","185"
"12056","94-2831597","2019","203"
"12057","99-0159253","2008","95"
"12058","99-0159253","2009","87"
"12059","99-0159253","2010","86"
"12060","99-0159253","2011","169"
"12061","99-0159253","2012","184"
"12062","99-0159253","2013","206"
"12063","99-0159253","2014","250"
"12064","99-0159253","2015","240"
"12065","99-0159253","2016","239"
"12066","99-0159253","2017","286"
"12067","99-0159253","2018","263"
"12068","99-0159253","2019","249"
"12069","99-0159253","2020","269"
"12070","94-2308748","2009","125"
"12071","94-2308748","2010","133"
"12072","94-2308748","2011","142"
"12073","94-2308748","2012","142"
"12074","94-2308748","2013","78"
"12075","94-2308748","2014","128"
"12076","94-2308748","2015","148"
"12077","94-2308748","2016","148"
"12078","94-2308748","2017","161"
"12079","94-2308748","2018","152"
"12080","94-2308748","2019","183"
"12081","94-2308748","2020","164"
"12082","94-2308748","2021","152"
"12083","95-4116680","2009","0"
"12084","95-4116680","2011","0"
"12085","95-4116680","2012","0"
"12086","95-4116680","2013","0"
"12087","95-4116680","2014","0"
"12088","95-4116680","2015","0"
"12089","95-4116680","2016","0"
"12090","95-4116680","2017","0"
"12091","95-4116680","2018","0"
"12092","95-4116680","2020","0"
"12093","95-4116680","2021","0"
"12094","95-4315734","2009","68"
"12095","95-4315734","2010","73"
"12096","95-4315734","2011","72"
"12097","95-4315734","2012","84"
"12098","95-4315734","2013","93"
"12099","95-4315734","2014","118"
"12100","95-4315734","2015","131"
"12101","95-4315734","2016","149"
"12102","95-4315734","2017","171"
"12103","95-4315734","2018","193"
"12104","95-4315734","2020","208"
"12105","95-4315734","2021","208"
"12106","99-0115515","2008","66"
"12107","99-0115515","2009","70"
"12108","99-0115515","2010","80"
"12109","99-0115515","2011","79"
"12110","99-0115515","2012","83"
"12111","99-0115515","2013","100"
"12112","99-0115515","2014","93"
"12113","99-0115515","2015","86"
"12114","99-0115515","2016","83"
"12115","99-0115515","2017","72"
"12116","99-0115515","2018","78"
"12117","99-0115515","2019","85"
"12118","94-2279011","2008","26"
"12119","94-2279011","2009","15"
"12120","94-2279011","2010","84"
"12121","94-2279011","2011","84"
"12122","94-2279011","2012","87"
"12123","94-2279011","2013","85"
"12124","94-2279011","2014","98"
"12125","94-2279011","2015","123"
"12126","94-2279011","2016","150"
"12127","94-2279011","2017","150"
"12128","94-2279011","2018","158"
"12129","94-2279011","2019","0"
"12130","94-2279011","2020","164"
"12131","68-0165855","2008","321"
"12132","68-0165855","2009","323"
"12133","68-0165855","2010","324"
"12134","68-0165855","2011","361"
"12135","68-0165855","2012","365"
"12136","68-0165855","2013","378"
"12137","68-0165855","2014","410"
"12138","68-0165855","2015","438"
"12139","68-0165855","2016","468"
"12140","68-0165855","2017","484"
"12141","68-0165855","2018","530"
"12142","68-0165855","2019","559"
"12143","68-0165855","2020","607"
"12144","68-0165855","2021","627"
"12145","88-0293149","2009","139"
"12146","88-0293149","2010","137"
"12147","88-0293149","2011","129"
"12148","88-0293149","2012","134"
"12149","88-0293149","2013","130"
"12150","88-0293149","2014","150"
"12151","88-0293149","2015","155"
"12152","88-0293149","2016","266"
"12153","88-0293149","2017","265"
"12154","88-0293149","2018","348"
"12155","88-0293149","2019","333"
"12156","88-0293149","2020","318"
"12157","88-0293149","2021","344"
"12158","99-0273205","2009","62"
"12159","99-0273205","2010","59"
"12160","99-0273205","2011","73"
"12161","99-0273205","2012","75"
"12162","99-0273205","2013","81"
"12163","99-0273205","2014","96"
"12164","99-0273205","2015","102"
"12165","99-0273205","2016","104"
"12166","99-0273205","2017","104"
"12167","99-0273205","2018","100"
"12168","99-0273205","2020","138"
"12169","99-0273205","2021","76"
"12170","68-0454670","2008","20"
"12171","68-0454670","2009","29"
"12172","68-0454670","2010","29"
"12173","68-0454670","2012","34"
"12174","68-0454670","2013","52"
"12175","68-0454670","2014","52"
"12176","68-0454670","2015","52"
"12177","68-0454670","2016","51"
"12178","68-0454670","2017","55"
"12179","68-0454670","2018","51"
"12180","68-0454670","2019","59"
"12181","68-0454670","2021","60"
"12182","42-1533531","2009","69"
"12183","42-1533531","2010","75"
"12184","42-1533531","2011","66"
"12185","42-1533531","2012","69"
"12186","42-1533531","2013","65"
"12187","42-1533531","2014","67"
"12188","42-1533531","2015","104"
"12189","42-1533531","2016","108"
"12190","42-1533531","2017","135"
"12191","42-1533531","2018","157"
"12192","42-1533531","2019","167"
"12193","42-1533531","2020","167"
"12194","42-1533531","2021","170"
"12195","23-7221695","2009","140"
"12196","23-7221695","2010","154"
"12197","23-7221695","2011","195"
"12198","23-7221695","2012","195"
"12199","23-7221695","2013","198"
"12200","23-7221695","2014","197"
"12201","23-7221695","2015","234"
"12202","23-7221695","2016","261"
"12203","23-7221695","2017","302"
"12204","23-7221695","2018","299"
"12205","23-7221695","2019","272"
"12206","23-7221695","2020","296"
"12207","23-7221695","2021","378"
"12208","23-7351622","2009","66"
"12209","23-7351622","2010","101"
"12210","23-7351622","2011","102"
"12211","23-7351622","2012","113"
"12212","23-7351622","2013","113"
"12213","23-7351622","2014","131"
"12214","23-7351622","2015","178"
"12215","23-7351622","2016","198"
"12216","23-7351622","2017","204"
"12217","23-7351622","2018","216"
"12218","23-7351622","2019","216"
"12219","23-7351622","2020","171"
"12220","23-7351622","2021","171"
"12221","20-0495394","2008","49"
"12222","20-0495394","2009","64"
"12223","20-0495394","2010","80"
"12224","20-0495394","2011","86"
"12225","20-0495394","2012","108"
"12226","20-0495394","2013","127"
"12227","20-0495394","2014","135"
"12228","20-0495394","2015","156"
"12229","20-0495394","2016","201"
"12230","20-0495394","2017","201"
"12231","20-0495394","2018","243"
"12232","20-0495394","2019","249"
"12233","23-7209592","2009","78"
"12234","23-7209592","2010","75"
"12235","23-7209592","2011","74"
"12236","23-7209592","2012","87"
"12237","23-7209592","2013","98"
"12238","23-7209592","2014","96"
"12239","23-7209592","2015","135"
"12240","23-7209592","2016","102"
"12241","23-7209592","2017","109"
"12242","23-7209592","2019","127"
"12243","23-7209592","2020","138"
"12244","23-7209592","2021","196"
"12245","95-2289916","2009","315"
"12246","95-2289916","2010","327"
"12247","95-2289916","2011","390"
"12248","95-2289916","2012","472"
"12249","95-2289916","2013","479"
"12250","95-2289916","2014","484"
"12251","95-2289916","2015","484"
"12252","95-2289916","2016","541"
"12253","95-2289916","2017","637"
"12254","95-2289916","2018","689"
"12255","95-2289916","2019","726"
"12256","95-2289916","2020","987"
"12257","95-2289916","2021","1044"
"12258","68-0286382","2008","48"
"12259","68-0286382","2009","49"
"12260","68-0286382","2010","52"
"12261","68-0286382","2011","57"
"12262","68-0286382","2012","59"
"12263","68-0286382","2013","65"
"12264","68-0286382","2014","75"
"12265","68-0286382","2015","86"
"12266","68-0286382","2016","104"
"12267","68-0286382","2017","106"
"12268","68-0286382","2018","104"
"12269","68-0286382","2019","111"
"12270","68-0286382","2020","117"
"12271","86-0871311","2009","51"
"12272","86-0871311","2010","51"
"12273","86-0871311","2011","58"
"12274","86-0871311","2012","69"
"12275","86-0871311","2013","67"
"12276","86-0871311","2014","65"
"12277","86-0871311","2015","68"
"12278","86-0871311","2016","69"
"12279","86-0871311","2017","72"
"12280","86-0871311","2018","76"
"12281","86-0871311","2019","61"
"12282","86-0871311","2020","83"
"12283","86-0814898","2009","131"
"12284","86-0814898","2010","136"
"12285","86-0814898","2011","176"
"12286","86-0814898","2012","206"
"12287","86-0814898","2013","218"
"12288","86-0814898","2014","227"
"12289","86-0814898","2015","227"
"12290","86-0814898","2016","325"
"12291","86-0814898","2017","349"
"12292","86-0814898","2018","391"
"12293","86-0814898","2019","440"
"12294","86-0814898","2020","493"
"12295","86-0814898","2021","459"
"12296","94-2502308","2009","523"
"12297","94-2502308","2010","392"
"12298","94-2502308","2011","536"
"12299","94-2502308","2012","746"
"12300","94-2502308","2013","747"
"12301","94-2502308","2014","787"
"12302","94-2502308","2015","846"
"12303","94-2502308","2016","874"
"12304","94-2502308","2017","938"
"12305","94-2502308","2018","1063"
"12306","94-2502308","2019","1095"
"12307","94-2502308","2020","1157"
"12308","94-2502308","2021","1157"
"12309","95-2918844","2009","147"
"12310","95-2918844","2010","146"
"12311","95-2918844","2011","128"
"12312","95-2918844","2012","94"
"12313","95-2918844","2013","155"
"12314","95-2918844","2014","130"
"12315","95-2918844","2015","137"
"12316","95-2918844","2016","128"
"12317","95-2918844","2017","140"
"12318","95-2918844","2018","142"
"12319","95-2918844","2019","174"
"12320","95-2918844","2020","186"
"12321","95-2918844","2021","182"
"12322","94-2188574","2009","250"
